score,sig,desc,a,lvl_a,b,lvl_b
0.575,0.753,0.308,See Invisibility,2,Grease,1
0.575,0.865,0.140,Elemental Weapon,3,Feign Death,3
0.574,0.846,0.167,Darkness,2,Web,2
0.574,0.889,0.103,Elemental Weapon,3,Haste,3
0.574,0.817,0.211,Speak with Animals,1,Revivify,3
0.574,0.883,0.111,Mage Armour,1,Stoneskin,4
0.574,0.759,0.296,See Invisibility,2,Web,2
0.574,0.779,0.267,False Life,1,Heroism,1
0.574,0.876,0.121,Charm Person,1,Command,1
0.574,0.880,0.115,Bestow Curse,3,Eyebite,6
0.574,0.790,0.250,Death Ward,4,Shield of Faith,1
0.574,0.714,0.364,Hellish Rebuke,1,Shadow Blade,2
0.574,0.885,0.108,Bane,1,Dominate Person,5
0.574,0.873,0.125,Animate Dead,3,Create or Destroy Water,1
0.574,0.842,0.171,Death Ward,4,Remove Curse,3
0.574,0.690,0.400,Animal Friendship,1,Conjure Minor Elemental,4
0.574,0.789,0.250,Feather Fall,1,Wind Walk,6
0.574,0.765,0.286,Pass Without Trace,2,Guidance,0
0.574,0.853,0.154,Blade Ward,0,Wind Walk,6
0.574,0.808,0.222,Animal Friendship,1,Flesh to Stone,6
0.573,0.741,0.323,Invisibility,2,Protection from Energy,3
0.573,0.785,0.256,Enlarge/Reduce,2,Feign Death,3
0.573,0.825,0.196,Blink,3,Heroes' Feast,6
0.573,0.870,0.129,Conjure Elemental,5,Remove Curse,3
0.573,0.689,0.400,Scorching Ray,2,Wall of Ice,6
0.573,0.862,0.140,Crown of Madness,2,Dominate Beast,4
0.573,0.862,0.140,Crown of Madness,2,Planar Binding,5
0.573,0.830,0.188,Confusion,4,Flesh to Stone,6
0.573,0.887,0.103,Dominate Beast,4,Hold Monster,5
0.573,0.825,0.195,Spike Growth,2,Wall of Ice,6
0.573,0.747,0.312,Death Ward,4,Revivify,3
0.573,0.857,0.146,Glyph of Warding,3,Plant Growth,3
0.573,0.863,0.138,Disintegrate,6,Phantasmal Force,2
0.573,0.876,0.118,Compelled Duel,1,Dominate Beast,4
0.573,0.833,0.182,Blade Ward,0,Shield,1
0.573,0.833,0.182,Blade Ward,0,Shield,1
0.573,0.833,0.182,Blade Ward,0,Shield,1
0.573,0.849,0.158,Charm Person,1,Confusion,4
0.573,0.865,0.133,Phantasmal Killer,4,Polymorph,4
0.573,0.810,0.216,Beacon of Hope,3,Bless,1
0.573,0.846,0.162,Evard's Black Tentacles,4,Darkness,2
0.573,0.816,0.207,Charm Person,1,Enthrall,2
0.572,0.838,0.174,Flesh to Stone,6,Tasha's Hideous Laughter,1
0.572,0.800,0.231,Create Undead,6,Spiritual Weapon,2
0.572,0.838,0.174,Armour of Agathys,1,Thaumaturgy,0
0.572,0.806,0.222,Animate Dead,3,Wall of Thorns,6
0.572,0.805,0.222,Barkskin,2,Colour Spray,1
0.572,0.820,0.200,Disintegrate,6,Polymorph,4
0.572,0.845,0.162,Spirit Guardians,3,Protection from Energy,3
0.572,0.769,0.276,Protection from Energy,3,Silence,2
0.572,0.861,0.138,Animate Dead,3,Feign Death,3
0.572,0.805,0.222,Barkskin,2,Protection from Poison,2
0.572,0.861,0.138,Armour of Agathys,1,Mage Armour,1
0.572,0.771,0.273,Enthrall,2,Harm,6
0.572,0.835,0.176,Hold Monster,5,Hypnotic Pattern,3
0.572,0.882,0.105,Conjure Elemental,5,Plant Growth,3
0.571,0.800,0.229,Shield,1,Misty Step,2
0.571,0.800,0.229,Shield,1,Misty Step,2
0.571,0.800,0.229,Shield,1,Misty Step,2
0.571,0.857,0.143,Animate Dead,3,Counterspell,3
0.571,0.762,0.286,Darkness,2,Globe of Invulnerability,6
0.571,0.831,0.182,Darkvision,2,Enlarge/Reduce,2
0.571,0.714,0.357,Dissonant Whispers,1,Vicious Mockery,0
0.571,0.889,0.095,Dominate Beast,4,Planar Binding,5
0.571,0.857,0.143,Dominate Beast,4,Polymorph,4
0.571,0.857,0.143,Enhance Ability,2,Gaseous Form,3
0.571,0.762,0.286,Find Familiar,1,Spiritual Weapon,2
0.571,0.762,0.286,Hex,1,Hunter's Mark,1
0.571,0.841,0.167,Dominate Person,5,Phantasmal Force,2
0.571,0.756,0.294,Contagion,5,Elemental Weapon,3
0.571,0.912,0.061,Conjure Elemental,5,Protection from Energy,3
0.571,0.804,0.222,Blindness,2,Confusion,4
0.571,0.845,0.160,Thaumaturgy,0,Haste,3
0.571,0.677,0.412,Phantasmal Killer,4,Vicious Mockery,0
0.571,0.873,0.118,Elemental Weapon,3,Remove Curse,3
0.571,0.863,0.133,Dissonant Whispers,1,Thunderwave,1
0.571,0.849,0.154,Command,1,Phantasmal Killer,4
0.571,0.846,0.158,Spike Growth,2,Wall of Fire,4
0.571,0.914,0.056,Glyph of Warding,3,Protection from Energy,3
0.571,0.868,0.125,Animal Friendship,1,Dominate Person,5
0.571,0.789,0.242,Beacon of Hope,3,Friends,0
0.571,0.789,0.242,Blade Ward,0,Feign Death,3
0.571,0.629,0.483,Produce Flame,0,Shadow Blade,2
0.571,0.769,0.273,See Invisibility,2,Entangle,1
0.571,0.761,0.286,Conjure Minor Elemental,4,Healing Word,1
0.571,0.719,0.348,Globe of Invulnerability,6,Minor Illusion,0
0.571,0.833,0.176,Otiluke's Freezing Sphere,6,Wall of Thorns,6
0.571,0.822,0.194,Haste,3,Remove Curse,3
0.570,0.860,0.136,Dominate Beast,4,Phantasmal Killer,4
0.570,0.879,0.108,Command,1,Dominate Beast,4
0.570,0.879,0.108,Dominate Person,5,Tasha's Hideous Laughter,1
0.570,0.817,0.200,Animate Dead,3,Wall of Fire,4
0.570,0.857,0.140,Shield,1,Elemental Weapon,3
0.570,0.857,0.140,Shield,1,Elemental Weapon,3
0.570,0.857,0.140,Shield,1,Elemental Weapon,3
0.570,0.772,0.267,Arms of Hadar,1,Burning Hands,1
0.570,0.854,0.143,Confusion,4,Slow,3
0.570,0.854,0.143,Planar Binding,5,Slow,3
0.570,0.828,0.182,Blindness,2,Polymorph,4
0.570,0.809,0.211,Enlarge/Reduce,2,Slow,3
0.570,0.841,0.162,Command,1,Confusion,4
0.570,0.886,0.095,Elemental Weapon,3,Glyph of Warding,3
0.569,0.857,0.138,Charm Person,1,Tasha's Hideous Laughter,1
0.569,0.759,0.286,Death Ward,4,Greater Invisibility,4
0.569,0.838,0.167,Dancing Lights,0,Wall of Stone,5
0.569,0.767,0.273,Darkvision,2,Healing Word,1
0.569,0.822,0.190,Barkskin,2,Friends,0
0.569,0.822,0.190,Guidance,0,Remove Curse,3
0.569,0.765,0.276,Bane,1,Dissonant Whispers,1
0.569,0.853,0.143,Barkskin,2,Resistance,0
0.569,0.904,0.067,Create or Destroy Water,1,Elemental Weapon,3
0.569,0.919,0.044,Blink,3,Wind Walk,6
0.569,0.795,0.231,Cure Wounds,1,Dimension Door,4
0.569,0.740,0.312,Blindness,2,Dissonant Whispers,1
0.569,0.849,0.148,Speak with Animals,1,Haste,3
0.569,0.849,0.148,Mass Cure Wounds,5,Remove Curse,3
0.569,0.805,0.214,Detect Thoughts,2,Bless,1
0.569,0.827,0.182,Blade Ward,0,Barkskin,2
0.569,0.874,0.111,Flesh to Stone,6,Polymorph,4
0.569,0.832,0.174,Polymorph,4,Otiluke's Resilient Sphere,4
0.568,0.742,0.308,Chromatic Orb,1,Fire Bolt,0
0.568,0.842,0.158,Chain Lightning,6,Fireball,3
0.568,0.842,0.158,Spirit Guardians,3,Wall of Ice,6
0.568,0.841,0.160,Enhance Ability,2,Wall of Stone,5
0.568,0.831,0.174,Magic Missile,1,Hellish Rebuke,1
0.568,0.852,0.143,Crown of Madness,2,Hold Person,2
0.568,0.889,0.087,Dominate Person,5,Planar Binding,5
0.568,0.868,0.118,Barkskin,2,Stoneskin,4
0.568,0.868,0.118,Enhance Ability,2,Enlarge/Reduce,2
0.568,0.851,0.143,Bane,1,Hypnotic Pattern,3
0.568,0.835,0.167,Gaseous Form,3,Stoneskin,4
0.568,0.876,0.105,Compelled Duel,1,Dominate Person,5
0.568,0.865,0.121,Bane,1,Planar Binding,5
0.568,0.750,0.294,Flaming Sphere,2,Spiritual Weapon,2
0.568,0.857,0.133,Counterspell,3,Otiluke's Freezing Sphere,6
0.568,0.857,0.133,Otiluke's Freezing Sphere,6,Hex,1
0.568,0.912,0.051,Conjure Elemental,5,Elemental Weapon,3
0.568,0.806,0.211,Hellish Rebuke,1,Seeming,5
0.568,0.806,0.211,Cure Wounds,1,Misty Step,2
0.568,0.806,0.211,Healing Word,1,Remove Curse,3
0.568,0.841,0.158,Conjure Elemental,5,Dimension Door,4
0.567,0.732,0.320,Enthrall,2,Remove Curse,3
0.567,0.767,0.267,Feather Fall,1,Mass Healing Word,3
0.567,0.853,0.138,Shield,1,Animate Dead,3
0.567,0.853,0.138,Shield,1,Animate Dead,3
0.567,0.853,0.138,Shield,1,Animate Dead,3
0.567,0.904,0.061,Plant Growth,3,Stinking Cloud,3
0.567,0.838,0.160,Aid,2,Mass Cure Wounds,5
0.567,0.778,0.250,Conjure Minor Elemental,4,Guidance,0
0.567,0.833,0.167,Invisibility,2,Longstrider,1
0.567,0.849,0.143,Animal Friendship,1,Planar Binding,5
0.567,0.853,0.136,Blink,3,Detect Thoughts,2
0.567,0.782,0.244,Magic Weapon,2,Stoneskin,4
0.566,0.800,0.216,Darkness,2,Darkvision,2
0.566,0.895,0.074,Grease,1,Stinking Cloud,3
0.566,0.857,0.130,Flesh to Stone,6,Phantasmal Force,2
0.566,0.771,0.259,Feign Death,3,Warding Bond,2
0.566,0.817,0.190,Spirit Guardians,3,Plant Growth,3
0.566,0.817,0.190,Conjure Minor Elemental,4,Remove Curse,3
0.566,0.611,0.500,Blindness,2,Greater Invisibility,4
0.566,0.879,0.098,Conjure Elemental,5,Otiluke's Freezing Sphere,6
0.566,0.830,0.170,Tasha's Hideous Laughter,1,Phantasmal Force,2
0.566,0.822,0.182,Crown of Madness,2,Flesh to Stone,6
0.566,0.879,0.098,Command,1,Dominate Person,5
0.566,0.822,0.182,Enlarge/Reduce,2,Otiluke's Resilient Sphere,4
0.566,0.873,0.105,Enhance Ability,2,Glyph of Warding,3
0.566,0.873,0.105,Knock,2,Longstrider,1
0.566,0.776,0.250,Barkskin,2,Greater Invisibility,4
0.566,0.843,0.150,Blindness,2,Dominate Person,5
0.566,0.822,0.182,Spirit Guardians,3,Hex,1
0.566,0.805,0.207,Darkvision,2,Sleep,1
0.566,0.795,0.222,Armour of Agathys,1,False Life,1
0.566,0.882,0.091,Otiluke's Freezing Sphere,6,Glyph of Warding,3
0.566,0.767,0.263,Death Ward,4,Invisibility,2
0.566,0.943,0.000,Conjure Minor Elemental,4,Planar Ally,6
0.566,0.827,0.174,Glyph of Warding,3,Spike Growth,2
0.566,0.789,0.231,Prayer of Healing,2,Dimension Door,4
0.566,0.713,0.345,Bane,1,Resistance,0
0.565,0.809,0.200,Heal,6,Lesser Restoration,2
0.565,0.794,0.222,Friends,0,Wall of Stone,5
0.565,0.853,0.133,Bless,1,Darkvision,2
0.565,0.720,0.333,Healing Word,1,Enhance Leap,1
0.565,0.843,0.148,Entangle,1,Sleet Storm,3
0.565,0.861,0.121,Aid,2,Shield,1
0.565,0.861,0.121,Aid,2,Shield,1
0.565,0.861,0.121,Aid,2,Shield,1
0.565,0.853,0.133,Disguise Self,1,Planar Ally,6
0.565,0.775,0.250,Heal,6,Heroism,1
0.565,0.775,0.250,Enhance Leap,1,Shield of Faith,1
0.565,0.835,0.160,Bestow Curse,3,Hold Monster,5
0.565,0.861,0.121,Shield of Faith,1,Stoneskin,4
0.565,0.871,0.105,Bane,1,Polymorph,4
0.565,0.833,0.162,Darkvision,2,Glyph of Warding,3
0.565,0.846,0.143,Haste,3,Shield of Faith,1
0.565,0.759,0.273,Shield,1,Sanctuary,1
0.565,0.759,0.273,Shield,1,Sanctuary,1
0.565,0.759,0.273,Shield,1,Sanctuary,1
0.565,0.769,0.258,Bless,1,Enlarge/Reduce,2
0.565,0.849,0.138,Bless,1,Protection from Energy,3
0.565,0.793,0.222,Ice Storm,4,Thunderwave,1
0.565,0.941,0.000,Animate Dead,3,Planar Ally,6
0.565,0.849,0.138,Crown of Madness,2,Polymorph,4
0.564,0.798,0.214,Blinding Smite,3,Wrathful Smite,1
0.564,0.857,0.125,Beacon of Hope,3,Speak with Animals,1
0.564,0.857,0.125,Conjure Minor Elemental,4,Seeming,5
0.564,0.800,0.211,Aid,2,Longstrider,1
0.564,0.845,0.143,Seeming,5,Dimension Door,4
0.564,0.849,0.136,Glyph of Warding,3,Stoneskin,4
0.564,0.899,0.062,Conjure Elemental,5,Find Familiar,1
0.564,0.803,0.205,Fireball,3,Ice Storm,4
0.564,0.811,0.194,Spirit Guardians,3,Create or Destroy Water,1
0.564,0.892,0.071,Barkskin,2,Enhance Ability,2
0.564,0.824,0.174,Disintegrate,6,Phantasmal Killer,4
0.564,0.756,0.276,Bane,1,Enlarge/Reduce,2
0.564,0.756,0.276,Wall of Ice,6,Thunderwave,1
0.564,0.828,0.167,Disintegrate,6,Thunderwave,1
0.564,0.638,0.452,Blindness,2,Invisibility,2
0.564,0.779,0.240,Enlarge/Reduce,2,Guidance,0
0.564,0.907,0.049,Haste,3,Stoneskin,4
0.563,0.853,0.129,Conjure Elemental,5,Misty Step,2
0.563,0.853,0.129,Conjure Minor Elemental,4,Otiluke's Freezing Sphere,6
0.563,0.853,0.129,Otiluke's Freezing Sphere,6,Planar Ally,6
0.563,0.806,0.200,Shield,1,Haste,3
0.563,0.806,0.200,Shield,1,Haste,3
0.563,0.806,0.200,Shield,1,Haste,3
0.563,0.800,0.208,Freedom of Movement,4,Gaseous Form,3
0.563,0.806,0.200,Hex,1,Seeming,5
0.563,0.779,0.240,Fire Bolt,0,Witch Bolt,1
0.563,0.838,0.151,Bestow Curse,3,Planar Binding,5
0.563,0.833,0.158,Command,1,Crown of Madness,2
0.563,0.832,0.160,Blindness,2,Phantasmal Force,2
0.563,0.821,0.176,Aid,2,Beacon of Hope,3
0.563,0.821,0.176,Beacon of Hope,3,Blade Ward,0
0.563,0.821,0.176,See Invisibility,2,Feign Death,3
0.563,0.817,0.182,Disguise Self,1,Wind Walk,6
0.563,0.817,0.182,Darkness,2,Otiluke's Freezing Sphere,6
0.563,0.817,0.182,Find Familiar,1,Seeming,5
0.563,0.868,0.105,Crown of Madness,2,Hypnotic Pattern,3
0.563,0.827,0.167,Hold Person,2,Hypnotic Pattern,3
0.563,0.835,0.154,Heroism,1,Sleep,1
0.563,0.857,0.121,Blade Ward,0,Death Ward,4
0.563,0.822,0.174,Longstrider,1,Protection from Energy,3
0.563,0.727,0.316,Ensnaring Strike,1,Banishing Smite,5
0.563,0.811,0.190,Fire Bolt,0,Fireball,3
0.563,0.811,0.190,Conjure Minor Elemental,4,Mage Armour,1
0.563,0.811,0.190,Enhance Leap,1,Protection from Energy,3
0.563,0.811,0.190,Longstrider,1,Remove Curse,3
0.562,0.759,0.267,Enlarge/Reduce,2,Heroism,1
0.562,0.844,0.140,Confusion,4,Crown of Madness,2
0.562,0.845,0.138,Darkness,2,Wall of Stone,5
0.562,0.819,0.176,Haste,3,Protection from Evil and Good,1
0.562,0.838,0.148,Command,1,Flesh to Stone,6
0.562,0.800,0.205,Warden of Vitality,3,Pass Without Trace,2
0.562,0.784,0.229,Destructive Wave,5,Flame Strike,5
0.562,0.829,0.162,Mass Cure Wounds,5,Otiluke's Freezing Sphere,6
0.562,0.899,0.057,Conjure Elemental,5,Enhance Ability,2
0.562,0.690,0.370,Charm Person,1,Friends,0
0.562,0.778,0.238,Cloudkill,5,Spike Growth,2
0.562,0.892,0.067,Entangle,1,Plant Growth,3
0.562,0.868,0.103,Hold Monster,5,Planar Binding,5
0.562,0.853,0.125,Planar Ally,6,Wall of Stone,5
0.562,0.870,0.100,Animate Dead,3,Remove Curse,3
0.562,0.807,0.194,Cone of Cold,5,Sunbeam,6
0.562,0.815,0.182,Protection from Poison,2,Resistance,0
0.562,0.769,0.250,Enlarge/Reduce,2,Stoneskin,4
0.561,0.874,0.093,Bestow Curse,3,Flesh to Stone,6
0.561,0.698,0.357,Divine Favour,1,Hunter's Mark,1
0.561,0.857,0.118,Flesh to Stone,6,Phantasmal Killer,4
0.561,0.880,0.083,Hellish Rebuke,1,Wall of Fire,4
0.561,0.830,0.158,Charm Person,1,Planar Binding,5
0.561,0.849,0.129,Conjure Minor Elemental,4,Goodberry,1
0.561,0.849,0.129,Elemental Weapon,3,Grant Flight,3
0.561,0.843,0.138,Mage Armour,1,Protection from Poison,2
0.561,0.805,0.195,Darkvision,2,Spike Growth,2
0.561,0.873,0.093,Spirit Guardians,3,Elemental Weapon,3
0.561,0.840,0.143,Bane,1,Otiluke's Resilient Sphere,4
0.561,0.861,0.111,Darkvision,2,Plant Growth,3
0.561,0.846,0.133,Death Ward,4,Longstrider,1
0.561,0.795,0.211,Barkskin,2,Conjure Minor Elemental,4
0.561,0.893,0.062,Bane,1,Hold Person,2
0.561,0.861,0.111,Barkskin,2,Gaseous Form,3
0.561,0.821,0.171,Feign Death,3,Mage Armour,1
0.561,0.827,0.162,Evard's Black Tentacles,4,Glyph of Warding,3
0.561,0.877,0.087,Blink,3,Darkvision,2
0.561,0.824,0.167,Blindness,2,Planar Binding,5
0.561,0.848,0.129,Otiluke's Freezing Sphere,6,Wall of Stone,5
0.561,0.902,0.049,Hold Person,2,Slow,3
0.561,0.816,0.178,Otiluke's Freezing Sphere,6,Blade Barrier,6
0.560,0.879,0.083,Burning Hands,1,Lightning Bolt,3
0.560,0.842,0.138,Darkvision,2,Mage Armour,1
0.560,0.845,0.133,Spirit Guardians,3,Conjure Minor Elemental,4
0.560,0.786,0.222,Barkskin,2,Invisibility,2
0.560,0.865,0.103,Hypnotic Pattern,3,Phantasmal Killer,4
0.560,0.775,0.238,Circle of Death,6,Otiluke's Freezing Sphere,6
0.560,0.882,0.077,Conjure Elemental,5,Seeming,5
0.560,0.827,0.160,Banishment,4,Otiluke's Resilient Sphere,4
0.560,0.816,0.176,Magic Missile,1,Spirit Guardians,3
0.560,0.667,0.400,Magic Missile,1,Burning Hands,1
0.560,0.833,0.150,Conjure Elemental,5,Feign Death,3
0.560,0.800,0.200,Counterspell,3,Sleep,1
0.560,0.880,0.080,Create or Destroy Water,1,Darkvision,2
0.560,0.800,0.200,Protection from Energy,3,Spike Growth,2
0.560,0.795,0.207,Heroism,1,Protection from Poison,2
0.560,0.870,0.095,Animate Dead,3,Find Familiar,1
0.560,0.755,0.267,Fire Bolt,0,Inflict Wounds,1
0.560,0.780,0.229,Pass Without Trace,2,Wind Walk,6
0.560,0.817,0.174,Remove Curse,3,Revivify,3
0.560,0.849,0.125,Barkskin,2,Elemental Weapon,3
0.560,0.864,0.103,Armour of Agathys,1,Beacon of Hope,3
0.560,0.806,0.190,Aid,2,Revivify,3
0.560,0.806,0.190,Thaumaturgy,0,Bless,1
0.559,0.769,0.245,Bestow Curse,3,Enlarge/Reduce,2
0.559,0.843,0.133,Mage Armour,1,Warding Bond,2
0.559,0.682,0.375,Acid Splash,0,Fire Bolt,0
0.559,0.833,0.148,Conjure Elemental,5,Fog Cloud,1
0.559,0.765,0.250,Darkvision,2,Speak with Dead,3
0.559,0.811,0.182,Blur,2,Bless,1
0.559,0.811,0.182,Cure Wounds,1,Darkvision,2
0.559,0.710,0.333,Acid Splash,0,Thunderwave,1
0.559,0.904,0.042,Blink,3,Haste,3
0.559,0.860,0.108,Command,1,Planar Binding,5
0.559,0.832,0.150,Chain Lightning,6,Cone of Cold,5
0.559,0.874,0.087,Arms of Hadar,1,Lightning Bolt,3
0.559,0.882,0.074,Animate Dead,3,Plant Growth,3
0.559,0.816,0.174,Darkvision,2,Colour Spray,1
0.559,0.886,0.069,Conjure Minor Elemental,4,Glyph of Warding,3
0.559,0.886,0.069,Elemental Weapon,3,Planar Ally,6
0.559,0.886,0.069,Glyph of Warding,3,Seeming,5
0.559,0.795,0.205,Stoneskin,4,Wall of Ice,6
0.559,0.865,0.100,Enhance Ability,2,Stoneskin,4
0.559,0.729,0.303,Bane,1,Elemental Weapon,3
0.559,0.853,0.118,Animate Dead,3,Revivify,3
0.559,0.861,0.105,Blink,3,Blur,2
0.559,0.857,0.111,Counterspell,3,Knock,2
0.559,0.829,0.154,Animate Dead,3,Cure Wounds,1
0.559,0.829,0.154,Conjure Elemental,5,Guidance,0
0.559,0.842,0.133,Feign Death,3,Guidance,0
0.558,0.854,0.114,Fireball,3,Circle of Death,6
0.558,0.773,0.235,Barkskin,2,Cure Wounds,1
0.558,0.835,0.143,Animal Friendship,1,Polymorph,4
0.558,0.849,0.121,Conjure Elemental,5,Web,2
0.558,0.816,0.171,Heroism,1,Hex,1
0.558,0.782,0.222,Circle of Death,6,Enlarge/Reduce,2
0.558,0.874,0.083,Bane,1,Tasha's Hideous Laughter,1
0.558,0.808,0.182,Disintegrate,6,Harm,6
0.558,0.796,0.200,Enthrall,2,Hold Monster,5
0.558,0.827,0.154,Enhance Ability,2,Feign Death,3
0.558,0.769,0.240,Inflict Wounds,1,Protection from Energy,3
0.558,0.827,0.154,Mage Armour,1,Remove Curse,3
0.558,0.857,0.108,Shield,1,Protection from Energy,3
0.558,0.857,0.108,Shield,1,Protection from Energy,3
0.558,0.857,0.108,Shield,1,Protection from Energy,3
0.557,0.690,0.359,Conjure Elemental,5,Planar Binding,5
0.557,0.747,0.273,Conjure Minor Elemental,4,Spiritual Weapon,2
0.557,0.780,0.222,Heroism,1,Silence,2
0.557,0.791,0.207,Wall of Fire,4,Lightning Bolt,3
0.557,0.690,0.357,Destructive Wave,5,Entangle,1
0.557,0.887,0.062,Tasha's Hideous Laughter,1,Hold Person,2
0.557,0.845,0.125,Bless,1,Conjure Elemental,5
0.557,0.845,0.125,Conjure Elemental,5,Grease,1
0.557,0.882,0.069,Disguise Self,1,Shield,1
0.557,0.882,0.069,Disguise Self,1,Shield,1
0.557,0.882,0.069,Disguise Self,1,Shield,1
0.557,0.882,0.069,Bane,1,Charm Person,1
0.557,0.777,0.227,Disintegrate,6,Dominate Beast,4
0.557,0.795,0.200,Dancing Lights,0,Darkvision,2
0.557,0.842,0.129,Goodberry,1,Longstrider,1
0.557,0.706,0.333,Ray of Frost,0,Ray of Sickness,1
0.557,0.706,0.333,Enthrall,2,Enhance Leap,1
0.557,0.817,0.167,Otiluke's Freezing Sphere,6,Stinking Cloud,3
0.557,0.769,0.238,Elemental Weapon,3,Otto's Irresistible Dance,6
0.557,0.795,0.200,Hellish Rebuke,1,Speak with Animals,1
0.557,0.844,0.125,Conjure Woodland Being,4,Create Undead,6
0.557,0.849,0.118,Elemental Weapon,3,Stinking Cloud,3
0.557,0.849,0.118,Enhance Ability,2,Resistance,0
0.557,0.849,0.118,Glyph of Warding,3,Stinking Cloud,3
0.557,0.849,0.118,Glyph of Warding,3,Wall of Fire,4
0.557,0.851,0.114,Blindness,2,Hold Person,2
0.556,0.789,0.207,See Invisibility,2,Resistance,0
0.556,0.800,0.190,Conjure Minor Elemental,4,Misty Step,2
0.556,0.800,0.190,Conjure Minor Elemental,4,Sleep,1
0.556,0.800,0.190,Seeming,5,Sleep,1
0.556,0.846,0.121,Gaseous Form,3,Guidance,0
0.556,0.816,0.167,Blade Ward,0,Mage Armour,1
0.556,0.816,0.167,Stoneskin,4,Wall of Fire,4
0.556,0.882,0.067,Bane,1,Hold Monster,5
0.556,0.806,0.182,Conjure Minor Elemental,4,Mass Cure Wounds,5
0.556,0.691,0.353,Pass Without Trace,2,Mass Cure Wounds,5
0.556,0.773,0.231,Wall of Fire,4,Thunderwave,1
0.556,0.731,0.293,Ice Knife,1,Cone of Cold,5
0.556,0.805,0.182,Disguise Self,1,Mirror Image,2
0.556,0.831,0.143,Wind Walk,6,Heroism,1
0.556,0.805,0.182,Create or Destroy Water,1,Heroism,1
0.556,0.829,0.145,Stoneskin,4,Warding Bond,2
0.556,0.759,0.250,Armour of Agathys,1,Divine Favour,1
0.556,0.824,0.154,Disguise Self,1,Prayer of Healing,2
0.556,0.786,0.211,Death Ward,4,Protection from Poison,2
0.555,0.876,0.074,Animal Friendship,1,Hold Person,2
0.555,0.857,0.103,Protection from Evil and Good,1,Stoneskin,4
0.555,0.849,0.114,Conjure Elemental,5,Enlarge/Reduce,2
0.555,0.865,0.091,Aid,2,Blade Ward,0
0.555,0.891,0.051,Hold Monster,5,Slow,3
0.555,0.693,0.348,Feather Fall,1,Mass Cure Wounds,5
0.555,0.800,0.188,Sanctuary,1,Shield of Faith,1
0.555,0.776,0.222,Greater Invisibility,4,Stoneskin,4
0.555,0.822,0.154,Speak with Animals,1,Resistance,0
0.555,0.822,0.154,Enhance Ability,2,Hex,1
0.555,0.715,0.314,Melf's Acid Arrow,2,Ice Knife,1
0.555,0.892,0.049,Blink,3,Barkskin,2
0.554,0.838,0.129,Flesh to Stone,6,Hold Person,2
0.554,0.882,0.062,Elemental Weapon,3,Knock,2
0.554,0.868,0.083,Bless,1,Grant Flight,3
0.554,0.784,0.211,Enthrall,2,Polymorph,4
0.554,0.835,0.133,Banishment,4,Slow,3
0.554,0.835,0.133,Charm Person,1,Compelled Duel,1
0.554,0.857,0.100,Arms of Hadar,1,Thunderwave,1
0.554,0.857,0.100,Conjure Elemental,5,Hex,1
0.554,0.829,0.143,Cure Wounds,1,Wall of Stone,5
0.554,0.795,0.194,Feather Fall,1,Shield,1
0.554,0.795,0.194,Feather Fall,1,Shield,1
0.554,0.795,0.194,Feather Fall,1,Shield,1
0.554,0.828,0.143,Blindness,2,Compelled Duel,1
0.554,0.845,0.118,Animate Dead,3,Grant Flight,3
0.554,0.845,0.118,Create or Destroy Water,1,Wall of Stone,5
0.554,0.771,0.229,Fire Shield,4,Hellish Rebuke,1
0.554,0.849,0.111,Grant Flight,3,Seeming,5
0.554,0.863,0.091,Phantasmal Killer,4,Slow,3
0.554,0.853,0.105,Conjure Minor Elemental,4,Knock,2
0.554,0.889,0.051,Blink,3,Speak with Animals,1
0.554,0.880,0.065,Guidance,0,Stoneskin,4
0.554,0.870,0.080,Find Familiar,1,Knock,2
0.554,0.805,0.176,Magic Missile,1,Hex,1
0.554,0.789,0.200,Enhance Ability,2,Sleep,1
0.554,0.756,0.250,Sleet Storm,3,Stoneskin,4
0.554,0.877,0.069,Elemental Weapon,3,Longstrider,1
0.554,0.760,0.244,Chromatic Orb,1,Witch Bolt,1
0.553,0.816,0.160,Protection from Energy,3,Shield of Faith,1
0.553,0.645,0.417,Otiluke's Resilient Sphere,4,Sacred Flame,0
0.553,0.835,0.130,Beacon of Hope,3,Stoneskin,4
0.553,0.756,0.250,Calm Emotions,2,Freedom of Movement,4
0.553,0.857,0.098,Dominate Person,5,Hypnotic Pattern,3
0.553,0.827,0.143,Charm Person,1,Flesh to Stone,6
0.553,0.862,0.091,Counterspell,3,Protection from Energy,3
0.553,0.841,0.121,Confusion,4,Tasha's Hideous Laughter,1
0.553,0.822,0.150,Enlarge/Reduce,2,Otiluke's Freezing Sphere,6
0.553,0.806,0.174,Counterspell,3,Darkvision,2
0.553,0.827,0.143,Bless,1,Mass Cure Wounds,5
0.553,0.795,0.190,Aid,2,Shield of Faith,1
0.553,0.795,0.190,Blade Ward,0,Shield of Faith,1
0.553,0.868,0.080,Wind Walk,6,Grant Flight,3
0.553,0.886,0.054,Blink,3,Thaumaturgy,0
0.553,0.861,0.091,Thaumaturgy,0,Wind Walk,6
0.553,0.784,0.207,Divine Favour,1,Elemental Weapon,3
0.553,0.760,0.242,Enthrall,2,Planar Binding,5
0.553,0.773,0.222,Feather Fall,1,Haste,3
0.553,0.773,0.222,Speak with Animals,1,Fog Cloud,1
0.553,0.724,0.296,Scorching Ray,2,Cone of Cold,5
