sim,a,cls_a,b,cls_b
0.632,Curse of Idiocy,Warlock,Curse of Shadow,Warlock
0.632,Curse of Idiocy,Warlock,Curse of the Elements,Warlock
0.630,Tremor Totem,Shaman,Strength of Earth Totem,Shaman
0.627,Poison Cleansing Totem,Shaman,Mana Spring Totem,Shaman
0.627,Poison Cleansing Totem,Shaman,Strength of Earth Totem,Shaman
0.627,Disease Cleansing Totem,Shaman,Mana Spring Totem,Shaman
0.627,Disease Cleansing Totem,Shaman,Strength of Earth Totem,Shaman
0.625,Bear Form,Druid,Aquatic Form,Druid
0.625,Arcane Intellect,Mage,Prayer of Fortitude,Priest
0.625,Arcane Intellect,Mage,Prayer of Spirit,Priest
0.625,Water Breathing,Shaman,Detect Lesser Invisibility,Warlock
0.625,Water Breathing,Shaman,Detect Greater Invisibility,Warlock
0.625,Frost Resistance Totem,Shaman,Mana Tide Totem,Shaman
0.625,Unending Breath,Warlock,Detect Lesser Invisibility,Warlock
0.625,Unending Breath,Warlock,Detect Greater Invisibility,Warlock
0.625,Corruption,Warlock,Rend,Warrior
0.622,Aspect of the Beast,Hunter,Aspect of the Wild,Hunter
0.622,Earthbind Totem,Shaman,Frost Resistance Totem,Shaman
0.622,Earthbind Totem,Shaman,Healing Stream Totem,Shaman
0.622,Frost Resistance Totem,Shaman,Magma Totem,Shaman
0.621,Frostbolt,Mage,Hamstring,Warrior
0.621,Drain Soul,Warlock,Shadowburn,Warlock
0.618,Tremor Totem,Shaman,Stoneskin Totem,Shaman
0.618,Tremor Totem,Shaman,Windwall Totem,Shaman
0.618,Tremor Totem,Shaman,Grace of Air Totem,Shaman
0.618,Blessing of Might,Paladin,Greater Blessing of Might,Paladin
0.617,Aquatic Form,Druid,Dire Bear Form,Druid
0.615,Regrowth,Druid,Rejuvenation,Druid
0.615,Viper Sting,Hunter,Curse of Weakness,Warlock
0.615,Serpent Sting,Hunter,Curse of Weakness,Warlock
0.615,Poison Cleansing Totem,Shaman,Stoneskin Totem,Shaman
0.615,Poison Cleansing Totem,Shaman,Windwall Totem,Shaman
0.615,Poison Cleansing Totem,Shaman,Mana Tide Totem,Shaman
0.615,Poison Cleansing Totem,Shaman,Grace of Air Totem,Shaman
0.615,Disease Cleansing Totem,Shaman,Stoneskin Totem,Shaman
0.615,Disease Cleansing Totem,Shaman,Windwall Totem,Shaman
0.615,Disease Cleansing Totem,Shaman,Mana Tide Totem,Shaman
0.615,Disease Cleansing Totem,Shaman,Grace of Air Totem,Shaman
0.613,Blessing of Kings,Paladin,Blessing of Light,Paladin
0.612,Curse of Tongues,Warlock,Curse of Weakness,Warlock
0.610,Eviscerate,Rogue,Rupture,Rogue
0.609,Earthbind Totem,Shaman,Mana Spring Totem,Shaman
0.609,Earthbind Totem,Shaman,Strength of Earth Totem,Shaman
0.608,Bear Form,Druid,Travel Form,Druid
0.606,Blessing of Kings,Paladin,Greater Blessing of Kings,Paladin
0.606,Blessing of Wisdom,Paladin,Greater Blessing of Wisdom,Paladin
0.605,Blessing of Light,Paladin,Blessing of Might,Paladin
0.605,Kidney Shot,Rogue,Expose Armor,Rogue
0.604,Tremor Totem,Shaman,Frost Resistance Totem,Shaman
0.600,Travel Form,Druid,Dire Bear Form,Druid
0.600,Bash,Druid,Arcane Intellect,Mage
0.600,Ravage,Druid,Garrote,Rogue
0.600,Healing Touch,Druid,Rejuvenation,Druid
0.600,Rejuvenation,Druid,Flash of Light,Paladin
0.600,Rejuvenation,Druid,Holy Light,Paladin
0.600,Rejuvenation,Druid,Flash Heal,Priest
0.600,Rejuvenation,Druid,Desperate Prayer,Priest
0.600,Rejuvenation,Druid,Healing Wave,Shaman
0.600,Rejuvenation,Druid,Lesser Healing Wave,Shaman
0.600,Concussive Shot,Hunter,Wing Clip,Hunter
0.600,Scorpid Sting,Hunter,Curse of Idiocy,Warlock
0.600,Chilled,Mage,Arcane Intellect,Mage
0.600,Fire Blast,Mage,Smite,Priest
0.600,Arcane Intellect,Mage,Hammer of Justice,Paladin
0.600,Scorch,Mage,Smite,Priest
0.600,Prayer of Shadow Protection,Priest,Shadow Protection,Priest
0.600,Poison Cleansing Totem,Shaman,Frost Resistance Totem,Shaman
0.600,Disease Cleansing Totem,Shaman,Frost Resistance Totem,Shaman
