ability,classes,level,school,ranks,family,tier,purpose
Ritual of Doom,Warlock,60,Shadow,1,The Menagerie,Shared template,Creating entities
Rupture,Rogue,60,Physical,6,The Affliction Engine,Shared engine,Damage
Seal of Light,Paladin,60,Holy,4,The Seal Press,Shared template,Offense boost
Searing Totem,Shaman,60,Fire,6,The Totem Foundry,Shared template,Creating entities
Serpent Sting,Hunter,60,Nature,9,The Affliction Engine,Shared engine,Damage
Shackle Undead,Priest,60,Holy,3,,,Disables
Shadow Bolt,Warlock,60,Shadow,10,The Bolt Engine,Shared engine,Damage
Shadow Ward,Warlock,60,Shadow,4,The Protection Rack,Shared template,Defense boost
Shadowguard,Priest,60,Shadow,6,,,Damage
Shield Slam,Warrior,60,Physical,4,,,Negation
Starfire,Druid,60,Arcane,7,The Bolt Engine,Shared engine,Damage
Stealth,Rogue,60,Physical,4,The Druid Costume Shop,Verbatim clone,Deception & stealth
Strength of Earth Totem,Shaman,60,Nature,5,The Totem Foundry,Shared template,Creating entities
Summon Charger,Paladin,60,Holy,1,The Menagerie,Shared template,Creating entities
Summon Dreadsteed,Warlock,60,Shadow,1,The Menagerie,Shared template,Creating entities
Tiger's Fury,Druid,60,Physical,4,,,Offense boost
Touch of Weakness,Priest,60,Shadow,6,,,Damage
Tranquility,Druid,60,Nature,4,,,Utility & world
Tranquilizing Shot,Hunter,60,Nature,1,,,Negation
Windfury Weapon,Shaman,60,Nature,4,,,Offense boost
Wing Clip,Hunter,60,Physical,3,,,Disables
Wyvern Sting,Hunter,60,Nature,3,,,Disables
