game,ability,purpose,assigned_by,family
Baldur's Gate 3,Arcane Gate,mobility,rule,
Baldur's Gate 3,Dimension Door,mobility,family,The Blink Ladder
Baldur's Gate 3,Revivify,heal,override,
Baldur's Gate 3,Telekinesis,disable,rule,
Baldur's Gate 3,Blade Barrier,zone,family,The Wall Foundry
Baldur's Gate 3,Wall of Fire,zone,family,The Wall Foundry
Baldur's Gate 3,Wall of Ice,zone,family,The Wall Foundry
Baldur's Gate 3,Wall of Stone,zone,family,The Wall Foundry
Baldur's Gate 3,Wall of Thorns,zone,family,The Wall Foundry
Baldur's Gate 3,Burning Hands,damage,rule,
Baldur's Gate 3,Colour Spray,disable,family,The Hit-Point Pool Engine
Baldur's Gate 3,Cone of Cold,damage,family,The Elemental Blast Template
Baldur's Gate 3,Conjure Barrage,damage,rule,
Baldur's Gate 3,Fear,disable,override,
Baldur's Gate 3,Gust of Wind,create,rule,
Baldur's Gate 3,Lightning Bolt,damage,family,The Elemental Blast Template
Baldur's Gate 3,Sunbeam,damage,family,The Elemental Blast Template
Baldur's Gate 3,Thunderwave,damage,family,The Elemental Blast Template
WoW Classic,Mangle,heal,rule,
WoW Classic,Bear Form,roleshift,override,
WoW Classic,Growl,threat,override,The Druid Costume Shop
WoW Classic,Teleport: Moonglade,mobility,rule,
WoW Classic,Enrage,roleshift,rule,
WoW Classic,Cure Poison,negation,family,The Cleanse Counter
WoW Classic,Aquatic Form,mobility,override,
WoW Classic,Aquatic Form (Passive),roleshift,rule,
WoW Classic,Cat Form,roleshift,override,
WoW Classic,Remove Curse,negation,family,The Cleanse Counter
WoW Classic,Abolish Poison,negation,family,The Cleanse Counter
WoW Classic,Challenging Roar,threat,override,The Druid Costume Shop
WoW Classic,Travel Form,mobility,override,
WoW Classic,Track Humanoids,info,family,The Tracking Dial
WoW Classic,Dire Bear Form,roleshift,override,
WoW Classic,Feline Grace,damage,rule,
WoW Classic,Moonkin Form,disable,rule,
WoW Classic,Barkskin,disable,rule,
WoW Classic,Bash,disable,rule,
WoW Classic,Dash,mobility,rule,
WoW Classic,Cower,threat,override,The Druid Costume Shop
WoW Classic,Demoralizing Roar,utility,fallback,
WoW Classic,Faerie Fire,stealth,rule,
WoW Classic,Faerie Fire (Feral),stealth,rule,
WoW Classic,Rake,defboost,rule,
WoW Classic,Shred,damage,family,The Druid Costume Shop
WoW Classic,Soothe Animal,degrade,rule,
WoW Classic,Swipe,damage,rule,
WoW Classic,Thorns,damage,rule,
WoW Classic,Wrath,damage,family,The Bolt Engine
WoW Classic,Frenzied Regeneration,heal,override,
WoW Classic,Pounce,disable,rule,
WoW Classic,Claw,defboost,rule,
WoW Classic,Entangling Roots,negation,rule,
WoW Classic,Hibernate,disable,rule,
WoW Classic,Maul,offboost,rule,
WoW Classic,Moonfire,damage,family,The Affliction Engine
WoW Classic,Nature's Grasp,zone,rule,
WoW Classic,Ravage,damage,family,The Druid Costume Shop
WoW Classic,Ferocious Bite,damage,rule,
WoW Classic,Gift of the Wild,offboost,family,The Greater Ladder
WoW Classic,Healing Touch,heal,family,"One Heal, Nine Names"
WoW Classic,Hurricane,damage,rule,
WoW Classic,Insect Swarm,damage,rule,
WoW Classic,Mark of the Wild,offboost,family,The Greater Ladder
WoW Classic,Prowl,damage,family,The Druid Costume Shop
WoW Classic,Rebirth,heal,override,The Resurrection Union
WoW Classic,Regrowth,heal,rule,
WoW Classic,Rejuvenation,heal,rule,
WoW Classic,Rip,damage,rule,
WoW Classic,Starfire,damage,family,The Bolt Engine
WoW Classic,Tiger's Fury,offboost,rule,
WoW Classic,Tranquility,utility,fallback,
WoW Classic,Auto Shot,damage,override,
WoW Classic,Cobra Reflexes,damage,rule,
WoW Classic,Track Beasts,info,family,The Tracking Dial
WoW Classic,Aspect of the Monkey,roleshift,family,The Aspect Dial
WoW Classic,Concussive Shot,disable,rule,
WoW Classic,Beast Training,utility,fallback,
WoW Classic,Call Pet,create,rule,
WoW Classic,Dismiss Pet,utility,fallback,
WoW Classic,Feed Pet,utility,fallback,
WoW Classic,Revive Pet,heal,rule,
WoW Classic,Tame Beast,utility,fallback,
WoW Classic,Track Humanoids,info,family,The Tracking Dial
WoW Classic,Eagle Eye,info,rule,
WoW Classic,Eyes of the Beast,utility,fallback,
WoW Classic,Track Undead,info,family,The Tracking Dial
WoW Classic,Aspect of the Cheetah,roleshift,family,The Aspect Dial
WoW Classic,Beast Lore,info,rule,
WoW Classic,Track Hidden,info,family,The Tracking Dial
WoW Classic,Rapid Fire,utility,fallback,
WoW Classic,Track Elementals,info,family,The Tracking Dial
WoW Classic,Frost Trap,disable,rule,
WoW Classic,Aspect of the Beast,roleshift,family,The Aspect Dial
WoW Classic,Feign Death,threat,rule,
WoW Classic,Flare,stealth,rule,
WoW Classic,Track Demons,info,family,The Tracking Dial
WoW Classic,Aspect of the Pack,roleshift,family,The Aspect Dial
WoW Classic,Track Giants,info,family,The Tracking Dial
WoW Classic,Scare Beast,disable,family,The Fear Franchise
WoW Classic,Disengage,utility,fallback,
WoW Classic,Prowl,damage,family,The Druid Costume Shop
WoW Classic,Track Dragonkin,info,family,The Tracking Dial
WoW Classic,Scorpid Sting,degrade,family,The Sting Clip
WoW Classic,Counterattack,disable,rule,
WoW Classic,Explosive Trap,roleshift,rule,
WoW Classic,Aspect of the Wild,roleshift,family,The Aspect Dial
WoW Classic,Immolation Trap,roleshift,rule,
WoW Classic,Raptor Strike,damage,rule,
WoW Classic,Scorpid Poison,damage,rule,
WoW Classic,Viper Sting,degrade,family,The Sting Clip
WoW Classic,Hunter's Mark,stealth,rule,
WoW Classic,Mongoose Bite,damage,rule,
WoW Classic,Volley,damage,rule,
WoW Classic,Arcane Shot,damage,rule,
WoW Classic,Aspect of the Hawk,roleshift,family,The Aspect Dial
WoW Classic,Black Arrow,disable,rule,
WoW Classic,Distracting Shot,utility,fallback,
WoW Classic,Freezing Trap,roleshift,rule,
WoW Classic,Lightning Breath,damage,rule,
WoW Classic,Mend Pet,heal,rule,
WoW Classic,Multi-Shot,damage,rule,
WoW Classic,Serpent Sting,damage,family,The Affliction Engine
WoW Classic,Tranquilizing Shot,utility,fallback,
WoW Classic,Wing Clip,mobility,rule,
WoW Classic,Wyvern Sting,disable,rule,
WoW Classic,Ice Block,disable,rule,
WoW Classic,Chilled,utility,fallback,
WoW Classic,Slow Fall,mobility,override,
WoW Classic,Detect Magic,info,rule,
WoW Classic,Remove Lesser Curse,negation,family,The Cleanse Counter
WoW Classic,Blink,mobility,override,
WoW Classic,Frost Armor,defboost,family,The Protection Rack
WoW Classic,Teleport: Ironforge,mobility,family,The Hearth Network
WoW Classic,Teleport: Orgrimmar,mobility,family,The Hearth Network
WoW Classic,Teleport: Stormwind,mobility,family,The Hearth Network
WoW Classic,Teleport: Undercity,mobility,family,The Hearth Network
WoW Classic,Counterspell,negation,override,
WoW Classic,Conjure Mana Agate,provision,family,The Conjured Commissary
WoW Classic,Teleport: Darnassus,mobility,family,The Hearth Network
WoW Classic,Teleport: Thunder Bluff,mobility,family,The Hearth Network
WoW Classic,Conjure Mana Jade,provision,family,The Conjured Commissary
WoW Classic,Combustion,damage,rule,
WoW Classic,Portal: Ironforge,mobility,family,The Hearth Network
WoW Classic,Portal: Orgrimmar,mobility,family,The Hearth Network
WoW Classic,Portal: Stormwind,mobility,family,The Hearth Network
WoW Classic,Portal: Undercity,mobility,family,The Hearth Network
WoW Classic,Conjure Mana Citrine,provision,family,The Conjured Commissary
WoW Classic,Portal: Darnassus,mobility,family,The Hearth Network
WoW Classic,Portal: Thunder Bluff,mobility,family,The Hearth Network
WoW Classic,Amplify Magic,defboost,family,Amplify & Dampen
WoW Classic,Arcane Explosion,damage,rule,
WoW Classic,Fire Blast,damage,rule,
WoW Classic,Frost Nova,negation,rule,
WoW Classic,Arcane Brilliance,offboost,family,The Greater Ladder
WoW Classic,Arcane Intellect,offboost,family,The Greater Ladder
WoW Classic,Arcane Missiles,damage,rule,
WoW Classic,Flamestrike,damage,rule,
WoW Classic,Cone of Cold,disable,rule,
WoW Classic,Conjure Mana Ruby,provision,family,The Conjured Commissary
WoW Classic,Ice Barrier,negation,rule,
WoW Classic,Mage Armor,defboost,family,The Protection Rack
WoW Classic,Scorch,damage,rule,
WoW Classic,Blast Wave,defboost,rule,
WoW Classic,Blizzard,damage,rule,
WoW Classic,Conjure Food,provision,family,The Conjured Commissary
WoW Classic,Conjure Water,provision,family,The Conjured Commissary
WoW Classic,Dampen Magic,defboost,family,Amplify & Dampen
WoW Classic,Fire Ward,defboost,family,The Protection Rack
WoW Classic,Fireball,damage,family,The Bolt Engine
WoW Classic,Frost Ward,defboost,family,The Protection Rack
WoW Classic,Frostbolt,damage,family,The Bolt Engine
WoW Classic,Ice Armor,defboost,family,The Protection Rack
WoW Classic,Mana Shield,defboost,rule,
WoW Classic,Polymorph,disable,override,The Polymorph Barn
WoW Classic,Polymorph: Cow,disable,family,The Polymorph Barn
WoW Classic,Pyroblast,damage,family,The Bolt Engine
WoW Classic,Judgement,damage,override,
WoW Classic,Purify,negation,family,The Cleanse Counter
WoW Classic,Righteous Fury,utility,fallback,
WoW Classic,Blessing of Freedom,offboost,family,The Blessing Rack
WoW Classic,Divine Protection,disable,rule,
WoW Classic,Blessing of Kings,offboost,family,The Blessing Rack
WoW Classic,Repentance,disable,rule,
WoW Classic,Sense Undead,info,family,The Tracking Dial
WoW Classic,Concentration Aura,defboost,family,The Aura Carousel
WoW Classic,Seal of Justice,offboost,family,The Seal Press
WoW Classic,Blessing of Salvation,threat,override,The Blessing Rack
WoW Classic,Divine Intervention,defboost,rule,
WoW Classic,Sanctity Aura,defboost,family,The Aura Carousel
WoW Classic,Blessing of Protection,disable,rule,
WoW Classic,Summon Warhorse,create,family,The Stable & The Circle
WoW Classic,Cleanse,negation,family,The Cleanse Counter
WoW Classic,Divine Shield,degrade,rule,
WoW Classic,Lay on Hands,heal,override,
WoW Classic,Seal of the Crusader,offboost,family,The Seal Press
WoW Classic,Shadow Resistance Aura,defboost,family,The Aura Carousel
WoW Classic,Turn Undead,remove,override,
WoW Classic,Blessing of Sacrifice,offboost,family,The Blessing Rack
WoW Classic,Hammer of Justice,disable,rule,
WoW Classic,Frost Resistance Aura,defboost,family,The Aura Carousel
WoW Classic,Retribution Aura,defboost,family,The Aura Carousel
WoW Classic,Flash of Light,heal,family,"One Heal, Nine Names"
WoW Classic,Seal of Righteousness,offboost,family,The Seal Press
WoW Classic,Seal of Wisdom,offboost,family,The Seal Press
WoW Classic,Blessing of Light,defboost,override,The Blessing Rack
WoW Classic,Blessing of Might,offboost,family,The Blessing Rack
WoW Classic,Blessing of Wisdom,offboost,family,The Blessing Rack
WoW Classic,Consecration,damage,rule,
WoW Classic,Devotion Aura,defboost,family,The Aura Carousel
WoW Classic,Exorcism,damage,override,
WoW Classic,Fire Resistance Aura,defboost,family,The Aura Carousel
WoW Classic,Greater Blessing of Kings,utility,fallback,
WoW Classic,Greater Blessing of Light,defboost,override,
WoW Classic,Greater Blessing of Might,utility,fallback,
WoW Classic,Greater Blessing of Salvation,threat,override,
WoW Classic,Greater Blessing of Sanctuary,degrade,rule,
WoW Classic,Greater Blessing of Wisdom,utility,fallback,
WoW Classic,Hammer of Wrath,damage,rule,
WoW Classic,Holy Light,heal,family,"One Heal, Nine Names"
WoW Classic,Holy Wrath,damage,rule,
WoW Classic,Redemption,heal,override,The Resurrection Union
WoW Classic,Seal of Light,offboost,family,The Seal Press
WoW Classic,Summon Charger,create,family,The Stable & The Circle
WoW Classic,Vampiric Embrace,damage,rule,
WoW Classic,Lesser Heal,heal,family,"One Heal, Nine Names"
WoW Classic,Cure Disease,negation,family,The Cleanse Counter
WoW Classic,Fear Ward,disable,rule,
WoW Classic,Abolish Disease,negation,family,The Cleanse Counter
WoW Classic,Heal,heal,family,"One Heal, Nine Names"
WoW Classic,Levitate,disable,rule,
WoW Classic,Dispel Magic,negation,override,The Cleanse Counter
WoW Classic,Power Infusion,damage,rule,
WoW Classic,Mind Vision,info,override,
WoW Classic,Mind Soothe,degrade,rule,
WoW Classic,Smite,damage,family,The Bolt Engine
WoW Classic,Flash Heal,heal,family,"One Heal, Nine Names"
WoW Classic,Mana Burn,damage,rule,
WoW Classic,Prayer of Shadow Protection,offboost,family,The Greater Ladder
WoW Classic,Psychic Scream,disable,family,The Fear Franchise
WoW Classic,Shadow Protection,offboost,family,The Greater Ladder
WoW Classic,Desperate Prayer,heal,rule,
WoW Classic,Mind Blast,damage,family,The Bolt Engine
WoW Classic,Mind Control,disable,override,
WoW Classic,Resurrection,heal,override,The Resurrection Union
WoW Classic,Shadow Word: Pain,damage,family,The Affliction Engine
WoW Classic,Starshards,damage,rule,
WoW Classic,Devouring Plague,heal,rule,
WoW Classic,Divine Spirit,offboost,family,The Greater Ladder
WoW Classic,Elune's Grace,damage,rule,
WoW Classic,Fade,threat,override,
WoW Classic,Feedback,damage,rule,
WoW Classic,Greater Heal,heal,family,"One Heal, Nine Names"
WoW Classic,Hex of Weakness,disable,rule,
WoW Classic,Holy Fire,damage,family,The Bolt Engine
WoW Classic,Holy Nova,heal,rule,
WoW Classic,Inner Fire,defboost,family,The Protection Rack
WoW Classic,Lightwell,utility,fallback,
WoW Classic,Mind Flay,disable,rule,
WoW Classic,Power Word: Fortitude,offboost,family,The Greater Ladder
WoW Classic,Power Word: Shield,defboost,override,The Protection Rack
WoW Classic,Prayer of Fortitude,offboost,family,The Greater Ladder
WoW Classic,Prayer of Healing,heal,rule,
WoW Classic,Prayer of Spirit,offboost,family,The Greater Ladder
WoW Classic,Renew,heal,rule,
WoW Classic,Shackle Undead,damage,rule,
WoW Classic,Shadowguard,damage,rule,
WoW Classic,Touch of Weakness,damage,rule,
WoW Classic,Pick Lock,utility,fallback,
WoW Classic,Pick Pocket,utility,fallback,
WoW Classic,Evasion,defboost,override,
WoW Classic,Poisons,utility,fallback,
WoW Classic,Distract,stealth,rule,
WoW Classic,Detect Traps,info,rule,
WoW Classic,Mind-numbing Poison,degrade,family,The Numbered Vials
WoW Classic,Cheap Shot,disable,rule,
WoW Classic,Disarm Trap,utility,fallback,
WoW Classic,Blind,disable,rule,
WoW Classic,Mind-numbing Poison II,degrade,family,The Numbered Vials
WoW Classic,Safe Fall,damage,rule,
WoW Classic,Slice and Dice,utility,fallback,
WoW Classic,Vanish,stealth,rule,
WoW Classic,Sap,heal,rule,
WoW Classic,Kidney Shot,disable,rule,
WoW Classic,Mind-numbing Poison III,degrade,family,The Numbered Vials
WoW Classic,Garrote,damage,family,The Affliction Engine
WoW Classic,Sinister Strike,defboost,rule,
WoW Classic,Expose Armor,degrade,rule,
WoW Classic,Ambush,damage,family,The Druid Costume Shop
WoW Classic,Hemorrhage,defboost,rule,
WoW Classic,Kick,negation,family,The Interrupt Union
WoW Classic,Sprint,mobility,rule,
WoW Classic,Backstab,damage,family,The Druid Costume Shop
WoW Classic,Eviscerate,damage,rule,
WoW Classic,Feint,threat,override,The Druid Costume Shop
WoW Classic,Gouge,heal,rule,
WoW Classic,Rupture,damage,family,The Affliction Engine
WoW Classic,Stealth,damage,family,The Druid Costume Shop
WoW Classic,Earthbind Totem,create,family,The Totem Foundry
WoW Classic,Cure Poison,negation,family,The Cleanse Counter
WoW Classic,Tremor Totem,create,family,The Totem Foundry
WoW Classic,Ghost Wolf,mobility,override,
WoW Classic,Cure Disease,negation,family,The Cleanse Counter
WoW Classic,Poison Cleansing Totem,create,family,The Totem Foundry
WoW Classic,Water Breathing,utility,fallback,
WoW Classic,Far Sight,info,rule,
WoW Classic,Water Walking,mobility,rule,
WoW Classic,Astral Recall,mobility,override,
WoW Classic,Grounding Totem,create,family,The Totem Foundry
WoW Classic,Reincarnation,heal,rule,
WoW Classic,Purge,negation,override,
WoW Classic,Sentry Totem,create,rule,
WoW Classic,Disease Cleansing Totem,create,family,The Totem Foundry
WoW Classic,Fire Nova Totem,create,family,The Totem Foundry
WoW Classic,Windfury Totem,create,family,The Totem Foundry
WoW Classic,Chain Heal,heal,rule,
WoW Classic,Frost Resistance Totem,create,family,The Totem Foundry
WoW Classic,Rockbiter Weapon,offboost,override,
WoW Classic,Stoneskin Totem,create,family,The Totem Foundry
WoW Classic,Chain Lightning,mobility,rule,
WoW Classic,Flametongue Weapon,offboost,override,
WoW Classic,Lightning Bolt,damage,family,The Bolt Engine
WoW Classic,Lightning Shield,defboost,rule,
WoW Classic,Magma Totem,create,family,The Totem Foundry
WoW Classic,Mana Spring Totem,create,family,The Totem Foundry
WoW Classic,Windwall Totem,create,family,The Totem Foundry
WoW Classic,Fire Resistance Totem,create,family,The Totem Foundry
WoW Classic,Flametongue Totem,create,family,The Totem Foundry
WoW Classic,Frost Shock,damage,family,The Shock Battery
WoW Classic,Frostbrand Weapon,offboost,override,
WoW Classic,Mana Tide Totem,create,family,The Totem Foundry
WoW Classic,Stoneclaw Totem,create,family,The Totem Foundry
WoW Classic,Ancestral Spirit,heal,override,The Resurrection Union
WoW Classic,Earth Shock,negation,family,The Interrupt Union
WoW Classic,Flame Shock,damage,family,The Shock Battery
WoW Classic,Grace of Air Totem,create,family,The Totem Foundry
WoW Classic,Healing Stream Totem,create,family,The Totem Foundry
WoW Classic,Healing Wave,heal,family,"One Heal, Nine Names"
WoW Classic,Lesser Healing Wave,heal,family,"One Heal, Nine Names"
WoW Classic,Nature Resistance Totem,create,family,The Totem Foundry
WoW Classic,Searing Totem,create,family,The Totem Foundry
WoW Classic,Strength of Earth Totem,create,family,The Totem Foundry
WoW Classic,Windfury Weapon,offboost,override,
WoW Classic,Summon Imp,create,family,The Stable & The Circle
WoW Classic,Create Healthstone (Minor),provision,family,The Conjured Commissary
WoW Classic,Demon Skin,defboost,family,The Protection Rack
WoW Classic,Summon Voidwalker,create,family,The Stable & The Circle
WoW Classic,Unending Breath,utility,fallback,
WoW Classic,Create Soulstone (Minor),provision,family,The Conjured Commissary
WoW Classic,Ritual of Summoning,mobility,override,The Stable & The Circle
WoW Classic,Summon Incubus,create,rule,
WoW Classic,Summon Succubus,create,family,The Stable & The Circle
WoW Classic,Create Healthstone (Lesser),provision,family,The Conjured Commissary
WoW Classic,Eye of Kilrogg,info,override,The Stable & The Circle
WoW Classic,Sense Demons,info,family,The Tracking Dial
WoW Classic,Detect Lesser Invisibility,stealth,rule,
WoW Classic,Create Firestone (Lesser),provision,family,The Conjured Commissary
WoW Classic,Create Soulstone (Lesser),provision,family,The Conjured Commissary
WoW Classic,Summon Felhunter,create,family,The Stable & The Circle
WoW Classic,Create Healthstone,provision,family,The Conjured Commissary
WoW Classic,Create Firestone,provision,family,The Conjured Commissary
WoW Classic,Create Spellstone,provision,family,The Conjured Commissary
WoW Classic,Curse of Idiocy,degrade,rule,
WoW Classic,Detect Invisibility,stealth,rule,
WoW Classic,Create Soulstone,provision,family,The Conjured Commissary
WoW Classic,Summon Felsteed,create,family,The Stable & The Circle
WoW Classic,Create Firestone (Greater),provision,family,The Conjured Commissary
WoW Classic,Create Healthstone (Greater),provision,family,The Conjured Commissary
WoW Classic,Banish,remove,rule,
WoW Classic,Create Spellstone (Greater),provision,family,The Conjured Commissary
WoW Classic,Create Soulstone (Greater),provision,family,The Conjured Commissary
WoW Classic,Curse of Tongues,degrade,family,The Curse Catalogue
WoW Classic,Detect Greater Invisibility,stealth,rule,
WoW Classic,Inferno,create,family,The Stable & The Circle
WoW Classic,Curse of Weakness,degrade,family,The Curse Catalogue
WoW Classic,Drain Soul,damage,rule,
WoW Classic,Drain Life,utility,fallback,
WoW Classic,Drain Mana,utility,fallback,
WoW Classic,Hellfire,damage,rule,
WoW Classic,Howl of Terror,disable,family,The Fear Franchise
WoW Classic,Create Firestone (Major),provision,family,The Conjured Commissary
WoW Classic,Curse of Recklessness,degrade,family,The Curse Catalogue
WoW Classic,Curse of Shadow,degrade,family,The Curse Catalogue
WoW Classic,Fear,disable,override,The Fear Franchise
WoW Classic,Life Tap,provision,override,
WoW Classic,Shadowburn,damage,rule,
WoW Classic,Soul Fire,damage,rule,
WoW Classic,Create Healthstone (Major),provision,family,The Conjured Commissary
WoW Classic,Curse of Agony,degrade,family,The Curse Catalogue
WoW Classic,Death Coil,damage,rule,
WoW Classic,Rain of Fire,damage,rule,
WoW Classic,Searing Pain,damage,rule,
WoW Classic,Siphon Life,damage,override,
WoW Classic,Subjugate Demon,disable,rule,
WoW Classic,Conflagrate,damage,rule,
WoW Classic,Corruption,damage,family,The Affliction Engine
WoW Classic,Create Soulstone (Major),provision,family,The Conjured Commissary
WoW Classic,Create Spellstone (Major),provision,family,The Conjured Commissary
WoW Classic,Curse of Doom,degrade,family,The Curse Catalogue
WoW Classic,Curse of the Elements,degrade,family,The Curse Catalogue
WoW Classic,Dark Pact,provision,override,
WoW Classic,Demon Armor,defboost,family,The Protection Rack
WoW Classic,Health Funnel,heal,override,
WoW Classic,Immolate,damage,family,The Affliction Engine
WoW Classic,Ritual of Doom,create,family,The Stable & The Circle
WoW Classic,Shadow Bolt,damage,family,The Bolt Engine
WoW Classic,Shadow Ward,defboost,family,The Protection Rack
WoW Classic,Summon Dreadsteed,create,family,The Stable & The Circle
WoW Classic,Battle Stance,roleshift,override,
WoW Classic,Bloodrage,utility,fallback,
WoW Classic,Defensive Stance,roleshift,override,
WoW Classic,Taunt,threat,override,The Druid Costume Shop
WoW Classic,Shield Block,defboost,rule,
WoW Classic,Disarm,disable,override,
WoW Classic,Retaliation,utility,fallback,
WoW Classic,Intimidating Shout,disable,family,The Fear Franchise
WoW Classic,Challenging Shout,threat,override,The Druid Costume Shop
WoW Classic,Shield Wall,defboost,rule,
WoW Classic,Berserker Stance,roleshift,override,
WoW Classic,Berserker Rage,disable,rule,
WoW Classic,Whirlwind,damage,rule,
WoW Classic,Charge,disable,rule,
WoW Classic,Recklessness,disable,rule,
WoW Classic,Intercept,disable,rule,
WoW Classic,Shield Bash,negation,family,The Interrupt Union
WoW Classic,Demoralizing Shout,degrade,override,
WoW Classic,Hamstring,disable,rule,
WoW Classic,Slam,damage,rule,
WoW Classic,Execute,damage,rule,
WoW Classic,Mocking Blow,threat,override,
WoW Classic,Pummel,negation,family,The Interrupt Union
WoW Classic,Sunder Armor,degrade,override,
WoW Classic,Thunder Clap,damage,rule,
WoW Classic,Battle Shout,utility,fallback,
WoW Classic,Bloodthirst,damage,rule,
WoW Classic,Cleave,damage,rule,
WoW Classic,Heroic Strike,damage,rule,
WoW Classic,Mortal Strike,damage,rule,
WoW Classic,Overpower,damage,rule,
WoW Classic,Rend,damage,family,The Affliction Engine
WoW Classic,Revenge,damage,rule,
WoW Classic,Shield Slam,negation,rule,
